tourney_year_id;tourney_slug;tourney_round_name;match_id;round_order;match_order;match_time;match_duration;winner_name;winner_player_id;loser_name;loser_player_id;winner_sets_won;loser_sets_won;winner_games_won;loser_games_won;winner_tiebreaks_won;loser_tiebreaks_won;winner_aces;winner_double_faults;winner_first_serves_in;winner_first_serves_total;winner_service_points_won;winner_service_points_total;winner_first_serve_return_won;winner_first_serve_return_total;loser_aces;loser_double_faults;loser_first_serves_in;loser_first_serves_total;loser_service_points_won;loser_service_points_total;loser_first_serve_return_won;loser_first_serve_return_total
2017-560;us-open;Round of 64;2017-560-me82-f811;6;22;02:17:00;137;Adrian Mannarino;me82;Bjorn Fratangelo;f811;3;1;24;13;0;1;12;3;71;114;79;114;20;57;6;3;57;99;54;99;16;71
2017-560;us-open;Round of 64;2017-560-d801-ba47;6;12;02:37:00;157;Alexandr Dolgopolov;d801;Tomas Berdych;ba47;3;1;22;15;1;0;7;4;55;103;73;103;14;59;9;12;59;131;75;131;11;55
2017-560;us-open;Round of 64;2017-560-re44-d875;6;6;02:27:00;147;Andrey Rublev;re44;Grigor Dimitrov;d875;3;0;20;14;1;0;7;3;76;125;82;125;16;62;10;11;62;105;63;105;23;76
2017-560;us-open;Round of 64;2017-560-cg80-z355;6;3;03:26:00;206;Borna Coric;cg80;Alexander Zverev;z355;3;1;24;23;2;0;5;3;102;150;105;150;24;100;22;7;100;149;103;149;24;102
2017-560;us-open;Round of 64;2017-560-d923-sk94;6;26;02:11:00;131;Damir Dzumhur;d923;Cedrik-Marcel Stebe;sk94;3;1;22;11;0;0;3;6;51;86;56;86;26;56;0;9;56;109;48;109;11;51
2017-560;us-open;Round of 64;2017-560-gb88-pc11;6;8;04:20:00;260;David Goffin;gb88;Guido Pella;pc11;3;2;29;28;2;1;14;6;100;177;118;177;30;110;16;5;110;182;126;182;23;100
2017-560;us-open;Round of 64;2017-560-su55-t786;6;7;02:12:00;132;Denis Shapovalov;su55;Jo-Wilfried Tsonga;t786;3;0;19;14;1;0;2;3;65;97;68;97;13;49;4;5;49;96;61;96;15;65
2017-560;us-open;Round of 64;2017-560-sm37-t742;6;21;02:20:00;140;Diego Schwartzman;sm37;Janko Tipsarevic;t742;3;0;19;11;0;0;0;4;53;103;65;103;18;46;4;2;46;98;49;98;16;53
2017-560;us-open;Round of 64;2017-560-tb69-fb98;6;5;02:50:00;170;Dominic Thiem;tb69;Taylor Fritz;fb98;3;1;23;19;0;0;5;6;89;145;95;145;22;80;7;3;80;133;87;133;28;89
2017-560;us-open;Round of 64;2017-560-l397-v306;6;23;02:11:00;131;Feliciano Lopez;l397;Fernando Verdasco;v306;3;1;21;12;0;0;11;2;64;108;69;108;18;56;8;3;56;93;54;93;15;64
2017-560;us-open;Round of 64;2017-560-mc65-y124;6;15;03:17:00;197;Gael Monfils;mc65;Donald Young;y124;3;2;27;25;0;1;19;13;83;154;99;154;34;96;7;6;96;154;96;154;21;83
2017-560;us-open;Round of 64;2017-560-i186-ch27;6;9;01:46:00;106;John Isner;i186;Hyeon Chung;ch27;3;0;19;12;0;0;30;2;56;77;64;77;18;51;4;5;51;93;59;93;7;56
2017-560;us-open;Round of 64;2017-560-mh30-j267;6;31;02:00:00;120;John Millman;mh30;Malek Jaziri;j267;3;0;19;8;1;0;5;1;61;96;62;96;21;51;1;4;51;88;41;88;18;61
2017-560;us-open;Round of 64;2017-560-d683-mb53;6;19;02:10:00;130;Juan Martin del Potro;d683;Adrian Menendez-Maceiras;mb53;3;0;19;11;1;0;17;4;54;85;65;85;18;57;8;2;57;97;59;97;6;54
2017-560;us-open;Round of 64;2017-560-a678-g858;6;20;02:17:00;137;Kevin Anderson;a678;Ernests Gulbis;g858;3;0;19;12;0;0;18;7;64;101;71;101;12;58;12;10;58;96;61;96;10;64
2017-560;us-open;Round of 64;2017-560-e831-j386;6;27;02:17:00;137;Kyle Edmund;e831;Steve Johnson;j386;3;0;20;13;1;0;2;2;65;104;70;104;18;66;9;8;66;102;59;102;18;65
2017-560;us-open;Round of 64;2017-560-md56-se73;6;30;02:59:00;179;Leonardo Mayer;md56;Yuichi Sugita;se73;3;1;24;18;0;1;20;3;77;125;79;125;27;78;5;4;78;133;75;133;24;77
2017-560;us-open;Round of 64;2017-560-pf39-dc58;6;13;03:30:00;210;Lucas Pouille;pf39;Jared Donaldson;dc58;3;2;26;25;0;0;16;9;86;157;96;157;20;77;11;10;77;160;97;160;22;86
2017-560;us-open;Round of 64;2017-560-c977-mb02;6;4;01:40:00;100;Marin Cilic;c977;Florian Mayer;mb02;3;0;18;9;0;0;18;6;40;83;59;83;16;42;2;3;42;70;37;70;5;40
2017-560;us-open;Round of 64;2017-560-k926-d864;6;29;02:28:00;148;Mikhail Kukushkin;k926;Evgeny Donskoy;d864;3;0;19;13;0;0;1;3;56;91;64;91;18;59;8;5;59;116;68;116;10;56
2017-560;us-open;Round of 64;2017-560-z168-pd31;6;18;02:49:00;169;Mischa Zverev;z168;Benoit Paire;pd31;3;2;28;23;0;1;8;4;108;158;106;158;22;87;12;14;87;155;98;155;29;108
2017-560;us-open;Round of 64;2017-560-m873-r772;6;17;03:27:00;207;Nicolas Mahut;m873;Albert Ramos-Vinolas;r772;3;2;26;19;0;0;14;7;95;141;94;141;40;102;5;7;102;158;89;158;24;95
2017-560;us-open;Round of 64;2017-560-cd85-n771;6;11;01:43:00;103;Pablo Carreno Busta;cd85;Cameron Norrie;n771;3;0;18;9;0;0;3;0;66;88;59;88;16;44;4;9;44;88;48;88;19;66
2017-560;us-open;Round of 64;2017-560-l503-ma30;6;16;03:28:00;208;Paolo Lorenzi;l503;Gilles Muller;ma30;3;1;25;19;1;1;11;10;70;147;99;147;14;68;20;10;68;136;85;136;14;70
2017-560;us-open;Round of 64;2017-560-k435-g725;6;24;01:27:00;87;Philipp Kohlschreiber;k435;Santiago Giraldo;g725;3;0;15;3;0;0;7;3;35;64;45;64;10;27;3;5;27;60;28;60;7;35
2017-560;us-open;Round of 64;2017-560-a829-l575;6;25;03:56:00;236;Radu Albot;a829;Yen-Hsun Lu;l575;3;2;25;27;2;0;6;7;107;173;109;173;33;100;9;7;100;169;107;169;33;107
2017-560;us-open;Round of 64;2017-560-n409-da81;6;1;02:53:00;173;Rafael Nadal;n409;Taro Daniel;da81;3;1;22;13;0;0;6;3;65;106;73;106;29;75;3;6;75;118;65;118;15;65
2017-560;us-open;Round of 64;2017-560-bd06-ba65;6;10;01:49:00;109;Roberto Bautista Agut;bd06;Dustin Brown;ba65;3;0;19;10;1;0;4;3;44;82;62;82;16;42;10;6;42;98;51;98;9;44
2017-560;us-open;Round of 64;2017-560-f324-y061;6;2;03:08:00;188;Roger Federer;f324;Mikhail Youzhny;y061;3;2;28;20;0;1;12;2;87;140;95;140;41;109;5;8;109;177;98;177;19;87
2017-560;us-open;Round of 64;2017-560-q927-sc56;6;14;01:20:00;80;Sam Querrey;q927;Dudi Sela;sc56;3;0;18;9;0;0;19;5;47;72;55;72;11;35;1;2;35;69;40;69;6;47
2017-560;us-open;Round of 64;2017-560-f586-tc61;6;28;02:57:00;177;Thomas Fabbiano;f586;Jordan Thompson;tc61;3;2;23;20;0;0;3;6;77;117;68;117;35;91;1;15;91;137;73;137;29;77
2017-560;us-open;Round of 64;2017-560-t840-ta12;6;32;02:05:00;125;Viktor Troicki;t840;Stefano Travaglia;ta12;3;0;20;11;1;0;12;6;48;88;63;88;13;45;9;10;45;102;55;102;10;48
2017-560;us-open;Round of 128;2017-560-me82-be90;7;29;01:35:00;95;Adrian Mannarino;me82;Ricardas Berankis;be90;3;0;18;8;0;0;5;1;47;77;56;77;13;35;0;3;35;73;41;73;8;47
2017-560;us-open;Round of 128;2017-560-mb53-k0a3;7;51;02:31:00;151;Adrian Menendez-Maceiras;mb53;Patrick Kypson;k0a3;3;0;19;11;1;0;11;1;58;97;65;97;27;60;4;3;60;101;52;101;12;58
2017-560;us-open;Round of 128;2017-560-r772-i165;7;19;04:55:00;295;Albert Ramos-Vinolas;r772;Denis Istomin;i165;3;2;31;29;1;1;12;2;120;189;123;189;55;157;23;4;157;229;141;229;37;120
2017-560;us-open;Round of 128;2017-560-z355-kc86;7;3;02:50:00;170;Alexander Zverev;z355;Darian King;kc86;3;0;20;15;1;0;6;5;71;125;80;125;30;83;2;3;83;137;79;137;22;71
2017-560;us-open;Round of 128;2017-560-d801-sl28;7;38;02:30:00;150;Alexandr Dolgopolov;d801;Jan-Lennard Struff;sl28;3;2;22;20;0;0;10;6;65;126;82;126;13;64;18;11;64;129;78;129;13;65
2017-560;us-open;Round of 128;2017-560-re44-bh09;7;55;01:42:00;102;Andrey Rublev;re44;Aljaz Bedene;bh09;3;0;18;9;0;0;5;3;53;88;63;88;12;46;12;5;46;75;47;75;15;53
2017-560;us-open;Round of 128;2017-560-pd31-l797;7;53;01:35:00;95;Benoit Paire;pd31;Lukas Lacko;l797;3;0;19;11;1;0;14;3;47;88;63;88;26;65;2;1;65;99;58;99;4;47
2017-560;us-open;Round of 128;2017-560-f811-k336;7;42;03:15:00;195;Bjorn Fratangelo;f811;Ivo Karlovic;k336;3;1;23;22;2;0;7;1;83;143;94;143;16;84;46;11;84;131;88;131;27;83
2017-560;us-open;Round of 128;2017-560-cg80-v708;7;36;02:28:00;148;Borna Coric;cg80;Jiri Vesely;v708;3;0;20;14;2;0;9;5;68;108;70;108;24;78;11;8;78;113;66;113;19;68
2017-560;us-open;Round of 128;2017-560-n771-t315;7;52;01:32:00;92;Cameron Norrie;n771;Dmitry Tursunov;t315;2;0;13;7;1;0;5;2;48;74;51;74;16;44;1;4;44;71;41;71;12;48
2017-560;us-open;Round of 128;2017-560-sk94-kc29;7;58;02:48:00;168;Cedrik-Marcel Stebe;sk94;Nicolas Kicker;kc29;3;1;23;12;0;0;8;6;63;111;77;111;37;87;4;11;87;144;78;144;16;63
2017-560;us-open;Round of 128;2017-560-d923-c882;7;26;02:03:00;123;Damir Dzumhur;d923;Pablo Cuevas;c882;3;0;20;12;1;0;2;4;73;107;64;107;27;64;6;4;64;105;54;105;26;73
2017-560;us-open;Round of 128;2017-560-gb88-b747;7;8;02:18:00;138;David Goffin;gb88;Julien Benneteau;b747;3;1;20;16;0;0;12;7;64;109;71;109;21;59;4;5;59;106;60;106;17;64
2017-560;us-open;Round of 128;2017-560-su55-mm58;7;57;01:36:00;96;Denis Shapovalov;su55;Daniil Medvedev;mm58;3;0;19;8;0;0;6;2;64;88;59;88;22;47;2;8;47;82;37;82;18;64
2017-560;us-open;Round of 128;2017-560-sm37-b884;7;28;01:41:00;101;Diego Schwartzman;sm37;Carlos Berlocq;b884;3;0;18;6;0;0;0;2;38;71;49;71;25;52;1;1;52;78;35;78;8;38
2017-560;us-open;Round of 128;2017-560-tb69-dh58;7;5;01:49:00;109;Dominic Thiem;tb69;Alex de Minaur;dh58;3;0;18;6;0;0;3;3;48;69;50;69;23;51;1;4;51;81;41;81;8;48
2017-560;us-open;Round of 128;2017-560-y124-mn13;7;63;02:23:00;143;Donald Young;y124;Maximilian Marterer;mn13;3;1;19;14;0;0;8;7;58;99;67;99;13;51;8;3;51;87;55;87;12;58
2017-560;us-open;Round of 128;2017-560-sc56-e865;7;56;01:33:00;93;Dudi Sela;sc56;Christopher Eubanks;e865;3;0;18;8;0;0;2;1;53;64;53;64;28;71;10;4;71;99;56;99;8;53
2017-560;us-open;Round of 128;2017-560-ba65-bd20;7;34;01:42:00;102;Dustin Brown;ba65;Thomaz Bellucci;bd20;3;0;18;9;0;0;16;9;45;78;53;78;32;67;3;7;67;106;52;106;3;45
2017-560;us-open;Round of 128;2017-560-g858-g983;7;45;03:40:00;220;Ernests Gulbis;g858;Alessandro Giannessi;g983;3;1;25;18;0;1;20;12;83;160;104;160;29;89;7;6;89;139;84;139;17;83
2017-560;us-open;Round of 128;2017-560-d864-h804;7;40;01:20:00;80;Evgeny Donskoy;d864;Andreas Haider-Maurer;h804;2;0;12;7;1;0;6;3;30;60;43;60;14;35;2;6;35;65;38;65;5;30
2017-560;us-open;Round of 128;2017-560-l397-kb54;7;30;02:55:00;175;Feliciano Lopez;l397;Andrey Kuznetsov;kb54;3;1;25;19;1;1;26;5;78;129;95;129;20;88;21;7;88;154;97;154;17;78
2017-560;us-open;Round of 128;2017-560-v306-pd07;7;62;00:34:00;34;Fernando Verdasco;v306;Vasek Pospisil;pd07;1;0;6;2;0;0;1;1;15;22;13;22;8;12;0;0;12;29;12;29;6;15
2017-560;us-open;Round of 128;2017-560-mb02-sc73;7;50;02:36:00;156;Florian Mayer;mb02;Rogerio Dutra Silva;sc73;3;1;19;18;0;0;3;3;78;149;85;149;19;67;9;7;67;114;71;114;26;78
2017-560;us-open;Round of 128;2017-560-mc65-ca12;7;17;02:06:00;126;Gael Monfils;mc65;Jeremy Chardy;ca12;3;0;19;13;1;0;18;5;48;97;67;97;19;60;3;8;60;108;65;108;9;48
2017-560;us-open;Round of 128;2017-560-ma30-ta46;7;18;02:33:00;153;Gilles Muller;ma30;Bernard Tomic;ta46;3;1;21;17;0;0;27;9;53;109;78;109;21;83;16;7;83;140;83;140;6;53
2017-560;us-open;Round of 128;2017-560-d875-sn77;7;6;01:49:00;109;Grigor Dimitrov;d875;Vaclav Safranek;sn77;3;0;18;7;0;0;6;3;45;81;59;81;24;58;4;6;58;95;50;95;9;45
2017-560;us-open;Round of 128;2017-560-pc11-d632;7;54;01:29:00;89;Guido Pella;pc11;Steve Darcis;d632;3;0;18;3;0;0;3;0;49;63;48;63;21;41;1;3;41;69;29;69;11;49
2017-560;us-open;Round of 128;2017-560-ch27-z184;7;35;03:30:00;210;Hyeon Chung;ch27;Horacio Zeballos;z184;3;1;22;19;1;0;16;10;85;143;93;143;21;83;13;1;83;144;92;144;18;85
2017-560;us-open;Round of 128;2017-560-t742-kd46;7;60;04:10:00;250;Janko Tipsarevic;t742;Thanasi Kokkinakis;kd46;3;2;28;23;1;1;10;7;91;157;108;157;36;120;18;7;120;195;116;195;19;91
2017-560;us-open;Round of 128;2017-560-dc58-bg23;7;39;02:47:00;167;Jared Donaldson;dc58;Nikoloz Basilashvili;bg23;3;1;23;15;1;0;9;5;46;109;69;109;40;99;6;7;99;161;83;161;10;46
2017-560;us-open;Round of 128;2017-560-t786-ca99;7;7;01:51:00;111;Jo-Wilfried Tsonga;t786;Marius Copil;ca99;3;0;18;10;0;0;13;4;52;79;61;79;17;54;6;5;54;104;61;104;3;52
2017-560;us-open;Round of 128;2017-560-i186-h996;7;9;02:23:00;143;John Isner;i186;Pierre-Hugues Herbert;h996;3;1;22;13;0;0;22;1;71;100;72;100;17;62;11;8;62;109;63;109;14;71
2017-560;us-open;Round of 128;2017-560-mh30-ke17;7;13;02:15:00;135;John Millman;mh30;Nick Kyrgios;ke17;3;1;19;14;0;0;3;2;73;103;68;103;21;69;17;7;69;116;69;116;21;73
2017-560;us-open;Round of 128;2017-560-tc61-sm25;7;12;03:56:00;236;Jordan Thompson;tc61;Jack Sock;sm25;3;2;25;25;1;0;8;10;111;173;99;173;34;100;15;6;100;162;96;162;38;111
2017-560;us-open;Round of 128;2017-560-d683-l949;7;23;02:34:00;154;Juan Martin del Potro;d683;Henri Laaksonen;l949;3;0;20;16;2;0;16;6;66;104;78;104;14;69;9;10;69;124;81;124;11;66
2017-560;us-open;Round of 128;2017-560-a678-ab71;7;27;01:43:00;103;Kevin Anderson;a678;JC Aragone;ab71;3;0;18;7;0;0;22;1;46;74;53;74;23;53;4;2;53;86;44;86;6;46
2017-560;us-open;Round of 128;2017-560-e831-h756;7;31;01:54:00;114;Kyle Edmund;e831;Robin Haase;h756;3;0;19;11;0;0;3;1;65;95;64;95;16;60;13;5;60;93;56;93;17;65
2017-560;us-open;Round of 128;2017-560-md56-g628;7;25;03:00:00;180;Leonardo Mayer;md56;Richard Gasquet;g628;3;1;21;14;0;0;9;8;52;99;67;99;21;66;1;6;66;124;71;124;11;52
2017-560;us-open;Round of 128;2017-560-pf39-be54;7;15;01:42:00;102;Lucas Pouille;pf39;Ruben Bemelmans;be54;3;0;18;11;0;0;8;3;52;89;66;89;20;57;3;3;57;90;56;90;13;52
2017-560;us-open;Round of 128;2017-560-j267-mj08;7;46;03:46:00;226;Malek Jaziri;j267;Thiago Monteiro;mj08;3;2;28;26;1;0;15;9;90;167;108;167;31;98;7;5;98;168;107;168;16;90
2017-560;us-open;Round of 128;2017-560-c977-sl08;7;4;02:48:00;168;Marin Cilic;c977;Tennys Sandgren;sl08;3;1;21;16;0;0;11;2;56;105;71;105;30;75;4;2;75;131;75;131;8;56
2017-560;us-open;Round of 128;2017-560-k926-f401;7;20;02:43:00;163;Mikhail Kukushkin;k926;David Ferrer;f401;3;1;22;12;0;0;4;2;79;120;76;120;19;61;5;9;61;105;57;105;22;79
2017-560;us-open;Round of 128;2017-560-y061-k834;7;64;03:06:00;186;Mikhail Youzhny;y061;Blaz Kavcic;k834;3;1;23;17;0;0;11;11;81;149;87;149;23;61;3;8;61;119;65;119;27;81
2017-560;us-open;Round of 128;2017-560-z168-kd35;7;22;03:28:00;208;Mischa Zverev;z168;Thai-Son Kwiatkowski;kd35;3;2;28;26;1;0;11;7;116;172;113;172;33;106;5;10;106;165;107;165;32;116
2017-560;us-open;Round of 128;2017-560-m873-f724;7;49;03:22:00;202;Nicolas Mahut;m873;Marton Fucsovics;f724;3;2;23;25;1;0;9;4;89;162;104;162;14;84;16;11;84;159;107;159;25;89
2017-560;us-open;Round of 128;2017-560-cd85-kb37;7;11;02:04:00;124;Pablo Carreno Busta;cd85;Evan King;kb37;3;0;19;11;1;0;1;1;67;92;65;92;16;45;1;1;45;83;52;83;20;67
2017-560;us-open;Round of 128;2017-560-l503-sh90;7;48;03:00:00;180;Paolo Lorenzi;l503;Joao Sousa;sh90;3;1;23;17;1;0;9;5;79;129;91;129;16;69;5;3;69;125;81;125;18;79
2017-560;us-open;Round of 128;2017-560-k435-sf62;7;32;01:44:00;104;Philipp Kohlschreiber;k435;Tim Smyczek;sf62;3;0;18;9;0;0;6;4;36;86;64;86;19;54;2;1;54;74;45;74;6;36
2017-560;us-open;Round of 128;2017-560-a829-e873;7;33;03:07:00;187;Radu Albot;a829;Ernesto Escobedo;e873;3;1;23;17;0;0;3;5;73;126;82;126;32;81;11;7;81;157;90;157;23;73
2017-560;us-open;Round of 128;2017-560-n409-l987;7;1;02:16:00;136;Rafael Nadal;n409;Dusan Lajovic;l987;3;0;19;10;1;0;5;5;61;98;63;98;30;65;1;2;65;90;48;90;20;61
2017-560;us-open;Round of 128;2017-560-bd06-sa93;7;10;02:55:00;175;Roberto Bautista Agut;bd06;Andreas Seppi;sa93;3;1;23;16;1;0;4;1;77;133;85;133;19;69;11;3;69;120;69;120;28;77
2017-560;us-open;Round of 128;2017-560-f324-td51;7;2;02:37:00;157;Roger Federer;f324;Frances Tiafoe;td51;3;2;23;19;0;0;17;4;63;116;78;116;23;71;5;6;71;138;83;138;14;63
2017-560;us-open;Round of 128;2017-560-q927-sd32;7;16;01:52:00;112;Sam Querrey;q927;Gilles Simon;sd32;3;0;18;11;0;0;10;3;40;85;53;85;24;49;2;2;49;95;49;95;10;40
2017-560;us-open;Round of 128;2017-560-g725-me31;7;44;03:28:00;208;Santiago Giraldo;g725;Vincent Millot;me31;3;2;26;17;0;0;10;4;67;128;82;128;34;83;5;7;83;139;74;139;17;67
2017-560;us-open;Round of 128;2017-560-ta12-f510;7;21;02:27:00;147;Stefano Travaglia;ta12;Fabio Fognini;f510;3;1;22;16;1;0;9;3;58;107;72;107;27;71;5;9;71;131;72;131;13;58
2017-560;us-open;Round of 128;2017-560-j386-a479;7;47;02:22:00;142;Steve Johnson;j386;Nicolas Almagro;a479;3;0;20;16;2;0;16;1;55;95;75;95;15;58;9;4;58;115;75;115;6;55
2017-560;us-open;Round of 128;2017-560-da81-pl56;7;37;02:58:00;178;Taro Daniel;da81;Tommy Paul;pl56;3;2;26;17;0;0;1;5;90;147;93;147;24;77;8;9;77;127;76;127;25;90
2017-560;us-open;Round of 128;2017-560-fb98-b837;7;43;01:59:00;119;Taylor Fritz;fb98;Marcos Baghdatis;b837;3;0;18;11;0;0;7;5;60;104;65;104;9;40;5;10;40;88;50;88;20;60
2017-560;us-open;Round of 128;2017-560-f586-sj55;7;41;03:04:00;184;Thomas Fabbiano;f586;John-Patrick Smith;sj55;3;1;23;22;2;0;3;6;98;137;85;137;38;108;8;7;108;156;92;156;33;98
2017-560;us-open;Round of 128;2017-560-ba47-h940;7;14;02:07:00;127;Tomas Berdych;ba47;Ryan Harrison;h940;3;0;19;12;1;0;9;5;62;102;67;102;12;44;9;5;44;90;49;90;17;62
2017-560;us-open;Round of 128;2017-560-t840-gb93;7;61;02:56:00;176;Viktor Troicki;t840;Norbert Gombos;gb93;3;2;24;22;0;0;11;4;79;135;91;135;22;87;9;10;87;154;95;154;17;79
2017-560;us-open;Round of 128;2017-560-l575-ke29;7;24;02:14:00;134;Yen-Hsun Lu;l575;Karen Khachanov;ke29;3;1;22;14;0;0;7;4;69;111;79;111;15;59;10;4;59;100;61;100;12;69
2017-560;us-open;Round of 128;2017-560-se73-bu54;7;59;01:49:00;109;Yuichi Sugita;se73;Geoffrey Blancaneaux;bu54;3;0;18;4;0;0;2;4;38;65;47;65;18;39;3;9;39;72;33;72;8;38
2017-540;wimbledon;Finals;2017-540-f324-c977;1;1;01:41:00;101;Roger Federer;f324;Marin Cilic;c977;3;0;18;8;0;0;8;2;53;70;55;70;19;54;5;3;54;90;49;90;10;53
2017-540;wimbledon;Semi-Finals;2017-540-c977-q927;2;2;02:56:00;176;Marin Cilic;c977;Sam Querrey;q927;3;1;26;22;1;1;25;1;78;120;97;120;25;97;13;3;97;151;98;151;9;78
2017-540;wimbledon;Semi-Finals;2017-540-f324-ba47;2;1;02:18:00;138;Roger Federer;f324;Tomas Berdych;ba47;3;0;20;16;2;0;13;4;70;105;80;105;25;79;9;0;79;128;82;128;11;70
2017-540;wimbledon;Quarter-Finals;2017-540-c977-ma30;3;4;03:30:00;210;Marin Cilic;c977;Gilles Muller;ma30;3;2;28;25;1;0;33;9;102;157;112;157;19;95;17;7;95;145;102;145;16;102
2017-540;wimbledon;Quarter-Finals;2017-540-f324-r975;3;3;01:58:00;118;Roger Federer;f324;Milos Raonic;r975;3;0;19;12;1;0;11;2;61;89;70;89;20;70;11;0;70;96;61;96;6;61
2017-540;wimbledon;Quarter-Finals;2017-540-q927-mc10;3;1;02:42:00;162;Sam Querrey;q927;Andy Murray;mc10;3;2;27;19;0;1;27;2;74;116;85;116;22;82;8;2;82;132;80;132;12;74
2017-540;wimbledon;Quarter-Finals;2017-540-ba47-d643;3;2;01:03:00;63;Tomas Berdych;ba47;Novak Djokovic;d643;2;0;9;6;1;0;1;1;27;46;35;46;14;39;1;0;39;47;29;47;2;27
2017-540;wimbledon;Round of 16;2017-540-mc10-pd31;4;1;02:21:00;141;Andy Murray;mc10;Benoit Paire;pd31;3;0;19;14;1;0;4;0;70;99;67;99;23;66;9;10;66;123;68;123;23;70
2017-540;wimbledon;Round of 16;2017-540-ma30-n409;4;4;04:48:00;288;Gilles Muller;ma30;Rafael Nadal;n409;2;2;19;19;0;0;30;10;133;212;144;212;24;119;23;2;119;177;130;177;27;133
2017-540;wimbledon;Round of 16;2017-540-c977-bd06;4;6;01:41:00;101;Marin Cilic;c977;Roberto Bautista Agut;bd06;3;0;18;6;0;0;9;0;43;78;54;78;25;52;0;3;52;67;30;67;9;43
2017-540;wimbledon;Round of 16;2017-540-r975-z355;4;5;03:23:00;203;Milos Raonic;r975;Alexander Zverev;z355;3;2;28;23;0;0;23;6;124;175;118;175;18;90;17;7;90;135;91;135;30;124
2017-540;wimbledon;Round of 16;2017-540-d643-me82;4;2;02:15:00;135;Novak Djokovic;d643;Adrian Mannarino;me82;3;0;19;12;1;0;4;2;69;93;65;93;28;71;2;1;71;102;59;102;20;69
2017-540;wimbledon;Round of 16;2017-540-f324-d875;4;3;01:38:00;98;Roger Federer;f324;Grigor Dimitrov;d875;3;0;18;10;0;0;8;0;52;75;56;75;20;57;7;7;57;91;52;91;13;52
2017-540;wimbledon;Round of 16;2017-540-q927-a678;4;8;03:07:00;187;Sam Querrey;q927;Kevin Anderson;a678;3;2;30;26;1;1;31;1;115;173;129;173;16;106;31;5;106;146;110;146;20;115
2017-540;wimbledon;Round of 16;2017-540-ba47-tb69;4;7;02:53:00;173;Tomas Berdych;ba47;Dominic Thiem;tb69;3;2;27;22;0;1;15;2;105;141;105;141;14;74;11;6;74;132;94;132;18;105
2017-540;wimbledon;Round of 32;2017-540-me82-mc65;5;13;03:30:00;210;Adrian Mannarino;me82;Gael Monfils;mc65;3;2;28;24;1;0;7;4;105;167;111;167;38;105;13;7;105;172;106;172;33;105
2017-540;wimbledon;Round of 32;2017-540-z355-o513;5;9;01:33:00;93;Alexander Zverev;z355;Sebastian Ofner;o513;3;0;18;10;0;0;4;5;47;71;50;71;20;53;1;5;53;92;46;92;9;47
2017-540;wimbledon;Round of 32;2017-540-mc10-f510;5;1;02:39:00;159;Andy Murray;mc10;Fabio Fognini;f510;3;1;23;14;0;0;15;7;76;118;77;118;21;63;3;7;63;102;58;102;20;76
2017-540;wimbledon;Round of 32;2017-540-pd31-j397;5;16;01:42:00;102;Benoit Paire;pd31;Jerzy Janowicz;j397;3;0;19;11;1;0;14;5;63;102;75;102;9;42;4;2;42;81;52;81;12;63
2017-540;wimbledon;Round of 32;2017-540-tb69-dc58;5;7;02:03:00;123;Dominic Thiem;tb69;Jared Donaldson;dc58;3;0;19;11;0;0;4;3;54;96;67;96;11;40;4;3;40;87;53;87;12;54
2017-540;wimbledon;Round of 32;2017-540-ma30-bh09;5;14;02:27:00;147;Gilles Muller;ma30;Aljaz Bedene;bh09;3;0;20;15;1;0;19;4;61;98;71;98;22;72;15;4;72;123;74;123;11;61
2017-540;wimbledon;Round of 32;2017-540-d875-sc56;5;12;01:00:00;60;Grigor Dimitrov;d875;Dudi Sela;sc56;2;0;12;2;0;0;5;0;29;36;30;36;13;25;1;2;25;46;20;46;5;29
2017-540;wimbledon;Round of 32;2017-540-a678-be54;5;15;02:00:00;120;Kevin Anderson;a678;Ruben Bemelmans;be54;3;0;20;16;2;0;27;2;59;86;77;86;22;79;6;2;79;108;78;108;4;59
2017-540;wimbledon;Round of 32;2017-540-c977-j386;5;6;02:12:00;132;Marin Cilic;c977;Steve Johnson;j386;3;0;19;14;1;0;17;1;52;84;64;84;25;75;8;6;75;114;66;114;10;52
2017-540;wimbledon;Round of 32;2017-540-r975-r772;5;5;02:22:00;142;Milos Raonic;r975;Albert Ramos-Vinolas;r772;3;0;20;15;1;0;21;2;61;87;72;87;25;77;11;3;77;124;78;124;10;61
2017-540;wimbledon;Round of 32;2017-540-d643-g858;5;2;02:13:00;133;Novak Djokovic;d643;Ernests Gulbis;g858;3;0;19;11;1;0;6;1;56;89;65;89;19;63;13;7;63;102;59;102;12;56
2017-540;wimbledon;Round of 32;2017-540-n409-ke29;5;4;02:15:00;135;Rafael Nadal;n409;Karen Khachanov;ke29;3;0;19;11;1;0;7;1;65;94;69;94;22;71;13;6;71;103;60;103;13;65
2017-540;wimbledon;Round of 32;2017-540-bd06-n552;5;8;03:21:00;201;Roberto Bautista Agut;bd06;Kei Nishikori;n552;3;1;22;19;1;0;3;3;97;146;96;146;26;88;5;7;88;146;92;146;24;97
2017-540;wimbledon;Round of 32;2017-540-f324-z168;5;3;01:49:00;109;Roger Federer;f324;Mischa Zverev;z168;3;0;19;14;1;0;13;1;53;88;69;88;18;63;6;4;63;102;65;102;9;53
